i,j,dist_km
C008,C021,28.023
C008,C022,9.5116
C008,C023,15.913200000000002
C008,C024,18.178
C008,C025,12.7594
C009,C001,11.665700000000001
C009,C002,14.869299999999999
C009,C003,15.4888
C009,C004,12.804799999999998
C009,C005,16.6659
C009,C006,17.605900000000002
C009,C007,6.3528
C009,C008,30.524900000000002
C009,C010,10.4231
C009,C011,10.947
C009,C012,12.7179
C009,C013,13.4086
C009,C014,10.8621
C009,C015,17.441599999999998
C009,C016,16.4542
C009,C017,13.6072
C009,C018,18.8826
C009,C019,17.4902
C009,C020,9.6853
C009,C021,3.2729
C009,C022,21.8691
C009,C023,18.360799999999998
C009,C024,14.174700000000001
C009,C025,26.2603
C010,C001,13.5453
C010,C002,12.82
C010,C003,14.4954
C010,C004,10.5343
C010,C005,21.270599999999998
C010,C006,16.6068
C010,C007,10.1386
C010,C008,20.9242
C010,C009,10.8889
C010,C011,12.826600000000001
C010,C012,3.3744
C010,C013,16.0065
C010,C014,0.9741000000000001
C010,C015,9.1522
C010,C016,15.460799999999999
C010,C017,15.010200000000001
C010,C018,13.0895
C010,C019,19.3401
C010,C020,5.100899999999999
C010,C021,9.1343
C010,C022,13.5797
C010,C023,9.9796
C010,C024,4.8013
C010,C025,17.9709
C011,C001,1.0358
C011,C002,24.3337
C011,C003,9.1757
C011,C004,22.2692
C011,C005,31.734099999999998
C011,C006,27.0703
C011,C007,15.645299999999999
C011,C008,23.1114
C011,C009,11.288200000000002
C011,C010,14.777899999999999
C011,C012,17.072599999999998
C011,C013,7.2953
C011,C014,15.2168
C011,C015,11.6622
C011,C016,10.141200000000001
C011,C017,7.4938
C011,C018,11.9681
C011,C019,11.3768
C011,C020,16.0792
C011,C021,10.746
C011,C022,13.4877
C011,C023,12.489700000000001
C011,C024,12.9643
C011,C025,20.480900000000002
C012,C001,18.4912
C012,C002,11.1287
C012,C003,16.5548
C012,C004,8.843
C012,C005,22.3433
C012,C006,17.6795
C012,C007,9.874
C012,C008,22.983700000000002
C012,C009,12.9826
C012,C010,3.5015
C012,C011,17.772599999999997
C012,C013,18.066
C012,C014,3.1086
C012,C015,10.572
C012,C016,17.5203
C012,C017,17.069599999999998
C012,C018,15.149
C012,C019,21.3996
C012,C020,3.4633000000000003
C012,C021,12.655100000000001
C012,C022,15.6392
C012,C023,10.4984
C012,C024,6.8607
C012,C025,16.753700000000002
C013,C001,7.5694
C013,C002,28.5319
C013,C003,5.9015
C013,C004,24.885900000000003
C013,C005,34.3508
C013,C006,29.687
C013,C007,18.262
C013,C008,15.6216
C013,C009,13.9049
C013,C010,18.0783
C013,C011,8.4325
C013,C012,20.373099999999997
C013,C014,18.5172
C013,C015,11.822700000000001
C013,C016,7.4935
C013,C017,3.2397
C013,C018,10.194
C013,C019,4.3366999999999996
C013,C020,19.0828
C013,C021,13.3627
C013,C022,11.1733
C013,C023,12.6501
C013,C024,13.077200000000001
C013,C025,19.3275
C014,C001,16.816
C014,C002,13.3978
C014,C003,15.2098
C014,C004,11.1121
C014,C005,21.2858
C014,C006,16.622
C014,C007,8.9291
C014,C008,21.6386
C014,C009,11.190100000000001
C014,C010,1.3535
C014,C011,16.0973
C014,C012,3.0823
C014,C013,16.7209
C014,C015,9.7026
C014,C016,16.1752
C014,C017,15.7246
C014,C018,13.8039
C014,C019,20.0545
C014,C020,5.0926
C014,C021,9.4355
C014,C022,14.2941
C014,C023,9.629
C014,C024,5.5157
C014,C025,15.8843
C015,C001,11.8385
C015,C002,19.4875
C015,C003,10.211799999999998
C015,C004,17.201700000000002
C015,C005,27.9395
C015,C006,23.2757
C015,C007,16.5706
C015,C008,15.3481
C015,C009,17.3209
C015,C010,7.318899999999999
C015,C011,12.4265
C015,C012,10.681
C015,C013,11.7229
C015,C014,8.289
C015,C016,11.0519
C015,C017,10.726600000000001
C015,C018,7.5134
C015,C019,15.6752
C015,C020,11.1823
C015,C021,15.5663
C015,C022,8.0036
C015,C023,3.0828
C015,C024,3.1031
C015,C025,11.5643
C016,C001,10.341899999999999
C016,C002,26.8934
C016,C003,2.6986999999999997
C016,C004,24.6077
C016,C005,33.9521
C016,C006,29.2883
C016,C007,17.3852
C016,C008,12.9875
C016,C009,18.1356
C016,C010,16.439799999999998
C016,C011,10.9299
C016,C012,18.7345
C016,C013,7.0138
C016,C014,16.878700000000002
C016,C015,9.629700000000001
C016,C017,6.017399999999999
C016,C018,2.759
C016,C019,6.1626
C016,C020,17.444200000000002
C016,C021,16.514
C016,C022,3.9723
C016,C023,10.4572
C016,C024,10.8843
C016,C025,16.6934
C017,C001,6.5971
C017,C002,26.931900000000002
C017,C003,3.5126
C017,C004,24.6462
C017,C005,33.9907
C017,C006,29.326900000000002
C017,C007,19.8255
C017,C008,16.482599999999998
C017,C009,12.9326
C017,C010,16.4783
C017,C011,7.4601999999999995
C017,C012,18.7731
C017,C013,2.179
C017,C014,16.9173
C017,C015,9.668299999999999
C017,C016,5.502800000000001
C017,C018,8.8742
C017,C019,5.5126
C017,C020,17.4828
C017,C021,12.3904
C017,C022,10.393799999999999
C017,C023,10.495700000000001
C017,C024,10.922799999999999
C017,C025,18.487
C018,C001,12.0669
C018,C002,26.1571
C018,C003,4.4236
C018,C004,23.8714
C018,C005,33.2158
C018,C006,28.552
C018,C007,19.0507
C018,C008,12.1377
C018,C009,19.801
C018,C010,15.7035
C018,C011,12.6549
C018,C012,17.9982
C018,C013,8.738700000000001
C018,C014,16.1424
C018,C015,5.9563999999999995
C018,C016,3.6898
C018,C017,7.7424
C018,C019,8.3131
C018,C020,16.708
C018,C021,18.046400000000002
C018,C022,2.6531
C018,C023,6.7947
C018,C024,10.5449
C018,C025,10.9184
C019,C001,10.374
C019,C002,30.5915
C019,C003,5.9609
C019,C004,28.305799999999998
C019,C005,37.6502
C019,C006,32.9864
C019,C007,23.4851
C019,C008,14.334100000000001
C019,C009,16.7095
C019,C010,20.137900000000002
C019,C011,11.2371
C019,C012,22.432599999999997
C019,C013,4.0895
C019,C014,20.5768
C019,C015,13.3278
C019,C016,5.982600000000001
C019,C017,4.9085
C019,C018,8.8798
C019,C020,21.1423
C019,C021,22.4808
C019,C022,9.8591
C019,C023,14.155299999999999
C019,C024,14.5824
C019,C025,18.04
C020,C001,15.9809
C020,C002,9.9046
C020,C003,18.1492
C020,C004,7.6189
C020,C005,19.833
C020,C006,15.1692
C020,C007,7.3637
C020,C008,24.5781
C020,C009,10.4722
C020,C010,5.4647
C020,C011,15.2623
C020,C012,4.0359
C020,C013,19.6603
C020,C014,4.197
C020,C015,12.806
C020,C016,19.1147
C020,C017,18.664
C020,C018,16.743299999999998
C020,C019,22.9939
C020,C021,10.1448
C020,C022,17.2336
C020,C023,13.6335
C020,C024,9.293299999999999
C020,C025,21.6247
C021,C001,10.3901
C021,C002,14.8438
C021,C003,14.2131
C021,C004,12.779399999999999
C021,C005,22.2443
C021,C006,17.5805
C021,C007,6.3274
C021,C008,29.249299999999998
C021,C009,2.6126
C021,C010,9.1475
C021,C011,9.6714
C021,C012,11.4423
C021,C013,12.133
C021,C014,9.5865
C021,C015,16.166
C021,C016,15.178600000000001
C021,C017,12.3316
C021,C018,17.607
C021,C019,16.2146
C021,C020,10.4489
C021,C022,20.5935
C021,C023,17.0852
C021,C024,12.8991
C021,C025,24.9847
C022,C001,15.1269
C022,C002,27.6569
C022,C003,7.2954
C022,C004,25.3711
C022,C005,34.7156
C022,C006,30.0518
C022,C007,20.5504
C022,C008,8.178
C022,C009,21.3008
C022,C010,12.7622
C022,C011,15.7149
C022,C012,16.1244
C022,C013,11.5387
C022,C014,17.6422
C022,C015,5.4434
C022,C016,6.5616
C022,C017,10.5423
C022,C018,2.2379000000000002
C022,C019,11.184899999999999
C022,C020,18.2077
C022,C021,19.546200000000002
C022,C023,6.2817
C022,C024,8.5464
C022,C025,8.7896
C023,C001,13.771
C023,C002,21.896
C023,C003,10.887
C023,C004,19.6103
C023,C005,30.3481
C023,C006,25.6843
C023,C007,18.9791
C023,C008,14.449399999999999
C023,C009,19.729400000000002
C023,C010,9.7274
C023,C011,14.359
C023,C012,13.0896
C023,C013,13.6554
C023,C014,10.6975
C023,C015,2.4085
C023,C016,10.1532
C023,C017,12.6591
C023,C018,6.6147
C023,C019,14.776399999999999
C023,C020,13.5908
C023,C021,17.9748
C023,C022,7.1049
C023,C024,5.5116000000000005
C023,C025,8.6753
C024,C001,11.889899999999999
C024,C002,16.8796
C024,C003,10.263200000000001
C024,C004,14.5938
C024,C005,25.331599999999998
C024,C006,20.6678
C024,C007,13.9627
C024,C008,17.4883
C024,C009,14.713
C024,C010,4.7109
C024,C011,12.9135
C024,C012,8.0731
C024,C013,11.774299999999998
C024,C014,5.681100000000001
C024,C015,5.7163
C024,C016,11.2286
C024,C017,10.778
C024,C018,9.6536
C024,C019,15.107899999999999
C024,C020,8.574399999999999
C024,C021,12.9584
C024,C022,10.143799999999999
C024,C023,5.3325
C024,C025,12.0693
C025,C001,21.5605
C025,C002,29.6855
C025,C003,14.7321
C025,C004,27.3998
C025,C005,38.1376
C025,C006,33.473800000000004
C025,C007,26.7686
C025,C008,13.178700000000001
C025,C009,27.519
C025,C010,17.5169
C025,C011,22.1485
C025,C012,20.879099999999998
C025,C013,19.4417
C025,C014,18.487
C025,C015,10.198
C025,C016,13.998299999999999
C025,C017,20.4486
C025,C018,10.459700000000002
C025,C019,17.7454
C025,C020,21.3803
C025,C021,25.764400000000002
C025,C022,8.508799999999999
C025,C023,8.6986
C025,C024,12.1113
C001,C026,0.0
C001,C027,24.938200000000002
C001,C028,8.5122
C001,C029,22.8738
C001,C030,32.3386
C001,C031,27.674799999999998
C001,C032,16.2498
C001,C033,22.4479
C001,C034,11.8928
C001,C035,15.3824
C001,C036,1.2221
C001,C037,17.6772
C001,C038,6.6316999999999995
C001,C039,15.821399999999999
C001,C040,10.998700000000001
C001,C041,9.4777
C001,C042,6.8303
C001,C043,11.3046
C001,C044,10.713299999999998
C001,C045,16.683799999999998
C001,C046,11.3505
C001,C047,12.824200000000001
C001,C048,11.8262
C001,C049,12.2533
C001,C050,19.817400000000003
C002,C026,25.859
C002,C027,0.0
C002,C028,27.1324
C002,C029,4.616899999999999
C002,C030,15.7519
C002,C031,11.0881
C002,C032,9.624
C002,C033,33.5613
C002,C034,15.338899999999999
C002,C035,15.143799999999999
C002,C036,25.1403
C002,C037,12.4698
C002,C038,28.6435
C002,C039,13.235700000000001
C002,C040,21.7892
C002,C041,28.097900000000003
C002,C042,27.6472
C002,C043,25.7265
C002,C044,31.9771
C002,C045,10.929
C002,C046,18.4784
C002,C047,26.2168
C002,C048,22.6167
C002,C049,18.2765
C002,C050,30.6079
C003,C026,10.0665
C003,C027,26.618
C003,C028,0.0
C003,C029,24.3323
C003,C030,33.6767
C003,C031,29.012900000000002
C003,C032,17.1098
C003,C033,13.158700000000001
C003,C034,17.8602
C003,C035,16.1644
C003,C036,10.6545
C003,C037,18.4591
C003,C038,6.7383999999999995
C003,C039,16.6033
C003,C040,9.354299999999999
C003,C041,1.5745
C003,C042,5.742
C003,C043,4.2525
C003,C044,5.5421000000000005
C003,C045,17.1688
C003,C046,16.2386
C003,C047,5.4046
C003,C048,10.181799999999999
C003,C049,10.6089
C003,C050,18.173
C004,C026,21.8139
C004,C027,5.1175
C004,C028,23.708099999999998
C004,C029,0.0
C004,C030,13.875
C004,C031,9.211200000000002
C004,C032,5.6309
C004,C033,30.1369
C004,C034,12.3727
C004,C035,11.7195
C004,C036,21.095200000000002
C004,C037,10.7808
C004,C038,25.2192
C004,C039,12.1584
C004,C040,18.364900000000002
C004,C041,24.6735
C004,C042,24.222900000000003
C004,C043,22.3022
C004,C044,28.552799999999998
C004,C045,7.5046
C004,C046,15.977799999999998
C004,C047,22.7924
C004,C048,19.1923
C004,C049,14.8522
C004,C050,27.1836
C005,C026,26.4645
C005,C027,15.3062
C005,C028,30.8747
C005,C029,14.036
C005,C030,0.0
C005,C031,7.0708
C005,C032,14.546899999999999
C005,C033,39.885400000000004
C005,C034,15.5238
C005,C035,19.9155
C005,C036,25.7458
C005,C037,21.3703
C005,C038,28.2074
C005,C039,20.3545
C005,C040,28.113400000000002
C005,C041,31.8401
C005,C042,33.3494
C005,C043,32.0507
C005,C044,32.289
C005,C045,18.980700000000002
C005,C046,18.0717
C005,C047,32.5409
C005,C048,28.9408
C005,C049,24.6007
C005,C050,36.9321
C006,C026,25.1628
C006,C027,9.1995
C006,C028,24.768
C006,C029,7.929399999999999
C006,C030,10.7856
C006,C031,0.0
C006,C032,8.440299999999999
C006,C033,33.778800000000004
C006,C034,13.5084
C006,C035,13.8089
C006,C036,24.4441
C006,C037,15.2636
C006,C038,26.9057
C006,C039,14.2479
C006,C040,22.0068
C006,C041,25.7335
C006,C042,27.2428
C006,C043,25.9441
C006,C044,30.9872
C006,C045,12.8741
C006,C046,17.7823
C006,C047,26.4343
C006,C048,22.8342
C006,C049,18.494
C006,C050,30.8255
C007,C026,16.8392
C007,C027,8.7358
C007,C028,17.6549
C007,C029,6.671399999999999
C007,C030,16.1363
C007,C031,11.4725
C007,C032,0.0
C007,C033,29.7208
C007,C034,5.9966
C007,C035,8.11
C007,C036,16.1206
C007,C037,9.5647
C007,C038,18.582099999999997
C007,C039,8.5489
C007,C040,16.2421
C007,C041,18.6203
C007,C042,18.169700000000002
C007,C043,20.1794
C007,C044,22.499599999999997
C007,C045,7.1751000000000005
C007,C046,9.4587
C007,C047,20.6696
C007,C048,17.0695
C007,C049,12.729299999999999
C007,C050,25.0607
C008,C026,21.4954
C008,C027,36.1337
C008,C028,13.1645
C008,C029,33.8479
C008,C030,43.1924
C008,C031,38.5286
C008,C032,29.0272
C008,C033,0.0
C008,C034,29.7776
C008,C035,22.3938
C008,C036,22.083299999999998
C008,C037,25.7559
C008,C038,15.380799999999999
C008,C039,23.3639
C008,C040,15.0749
C008,C041,11.7416
C008,C042,15.139299999999999
C008,C043,10.7147
C008,C044,13.6845
C008,C045,26.6845
C008,C046,28.023
C008,C047,9.5116
C008,C048,15.913200000000002
C008,C049,18.178
C008,C050,12.7594
C009,C026,11.665700000000001
C009,C027,14.869299999999999
C009,C028,15.4888
C009,C029,12.804799999999998
C009,C030,16.6659
C009,C031,17.605900000000002
C009,C032,6.3528
C009,C033,30.524900000000002
C009,C034,0.0
C009,C035,10.4231
C009,C036,10.947
C009,C037,12.7179
C009,C038,13.4086
C009,C039,10.8621
C009,C040,17.441599999999998
C009,C041,16.4542
C009,C042,13.6072
C009,C043,18.8826
C009,C044,17.4902
C009,C045,9.6853
C009,C046,3.2729
C009,C047,21.8691
C009,C048,18.360799999999998
C009,C049,14.174700000000001
C009,C050,26.2603
C010,C026,13.5453
C010,C027,12.82
C010,C028,14.4954
C010,C029,10.5343
C010,C030,21.270599999999998
C010,C031,16.6068
C010,C032,10.1386
C010,C033,20.9242
C010,C034,10.8889
C010,C035,0.0
C010,C036,12.826600000000001
C010,C037,3.3744
C010,C038,16.0065
C010,C039,0.9741000000000001
C010,C040,9.1522
C010,C041,15.460799999999999
C010,C042,15.010200000000001
C010,C043,13.0895
C010,C044,19.3401
C010,C045,5.100899999999999
C010,C046,9.1343
C010,C047,13.5797
C010,C048,9.9796
C010,C049,4.8013
C010,C050,17.9709
C011,C026,1.0358
C011,C027,24.3337
C011,C028,9.1757
C011,C029,22.2692
C011,C030,31.734099999999998
C011,C031,27.0703
C011,C032,15.645299999999999
C011,C033,23.1114
C011,C034,11.288200000000002
C011,C035,14.777899999999999
C011,C036,0.0
C011,C037,17.072599999999998
C011,C038,7.2953
C011,C039,15.2168
C011,C040,11.6622
C011,C041,10.141200000000001
C011,C042,7.4938
C011,C043,11.9681
C011,C044,11.3768
C011,C045,16.0792
C011,C046,10.746
C011,C047,13.4877
C011,C048,12.489700000000001
C011,C049,12.9643
C011,C050,20.480900000000002
C012,C026,18.4912
C012,C027,11.1287
C012,C028,16.5548
C012,C029,8.843
C012,C030,22.3433
C012,C031,17.6795
C012,C032,9.874
C012,C033,22.983700000000002
C012,C034,12.9826
C012,C035,3.5015
C012,C036,17.772599999999997
C012,C037,0.0
C012,C038,18.066
C012,C039,3.1086
C012,C040,10.572
C012,C041,17.5203
C012,C042,17.069599999999998
C012,C043,15.149
C012,C044,21.3996
C012,C045,3.4633000000000003
C012,C046,12.655100000000001
C012,C047,15.6392
C012,C048,10.4984
C012,C049,6.8607
C012,C050,16.753700000000002
C013,C026,7.5694
C013,C027,28.5319
C013,C028,5.9015
C013,C029,24.885900000000003
C013,C030,34.3508
C013,C031,29.687
C013,C032,18.262
C013,C033,15.6216
C013,C034,13.9049
C013,C035,18.0783
C013,C036,8.4325
C013,C037,20.373099999999997
C013,C038,0.0
C013,C039,18.5172
C013,C040,11.822700000000001
C013,C041,7.4935
C013,C042,3.2397
C013,C043,10.194
C013,C044,4.3366999999999996
C013,C045,19.0828
C013,C046,13.3627
C013,C047,11.1733
C013,C048,12.6501
C013,C049,13.077200000000001
C013,C050,19.3275
C014,C026,16.816
C014,C027,13.3978
C014,C028,15.2098
C014,C029,11.1121
C014,C030,21.2858
C014,C031,16.622
C014,C032,8.9291
C014,C033,21.6386
C014,C034,11.190100000000001
C014,C035,1.3535
C014,C036,16.0973
C014,C037,3.0823
C014,C038,16.7209
C014,C039,0.0
C014,C040,9.7026
C014,C041,16.1752
C014,C042,15.7246
C014,C043,13.8039
C014,C044,20.0545
C014,C045,5.0926
C014,C046,9.4355
C014,C047,14.2941
C014,C048,9.629
C014,C049,5.5157
C014,C050,15.8843
C015,C026,11.8385
C015,C027,19.4875
C015,C028,10.211799999999998
C015,C029,17.201700000000002
C015,C030,27.9395
C015,C031,23.2757
C015,C032,16.5706
C015,C033,15.3481
C015,C034,17.3209
C015,C035,7.318899999999999
C015,C036,12.4265
C015,C037,10.681
C015,C038,11.7229
C015,C039,8.289
C015,C040,0.0
C015,C041,11.0519
C015,C042,10.726600000000001
C015,C043,7.5134
C015,C044,15.6752
C015,C045,11.1823
C015,C046,15.5663
C015,C047,8.0036
C015,C048,3.0828
C015,C049,3.1031
C015,C050,11.5643
C016,C026,10.341899999999999
C016,C027,26.8934
C016,C028,2.6986999999999997
C016,C029,24.6077
C016,C030,33.9521
C016,C031,29.2883
C016,C032,17.3852
C016,C033,12.9875
C016,C034,18.1356
C016,C035,16.439799999999998
C016,C036,10.9299
C016,C037,18.7345
C016,C038,7.0138
C016,C039,16.878700000000002
C016,C040,9.629700000000001
C016,C041,0.0
C016,C042,6.017399999999999
C016,C043,2.759
C016,C044,6.1626
C016,C045,17.444200000000002
C016,C046,16.514
C016,C047,3.9723
C016,C048,10.4572
C016,C049,10.8843
C016,C050,16.6934
C017,C026,6.5971
C017,C027,26.931900000000002
C017,C028,3.5126
C017,C029,24.6462
C017,C030,33.9907
C017,C031,29.326900000000002
C017,C032,19.8255
C017,C033,16.482599999999998
C017,C034,12.9326
C017,C035,16.4783
C017,C036,7.4601999999999995
C017,C037,18.7731
C017,C038,2.179
C017,C039,16.9173
C017,C040,9.668299999999999
C017,C041,5.502800000000001
C017,C042,0.0
C017,C043,8.8742
C017,C044,5.5126
C017,C045,17.4828
C017,C046,12.3904
C017,C047,10.393799999999999
C017,C048,10.495700000000001
C017,C049,10.922799999999999
C017,C050,18.487
C018,C026,12.0669
C018,C027,26.1571
C018,C028,4.4236
C018,C029,23.8714
C018,C030,33.2158
C018,C031,28.552
C018,C032,19.0507
C018,C033,12.1377
C018,C034,19.801
C018,C035,15.7035
C018,C036,12.6549
C018,C037,17.9982
C018,C038,8.738700000000001
C018,C039,16.1424
C018,C040,5.9563999999999995
C018,C041,3.6898
C018,C042,7.7424
C018,C043,0.0
C018,C044,8.3131
C018,C045,16.708
C018,C046,18.046400000000002
C018,C047,2.6531
C018,C048,6.7947
C018,C049,10.5449
C018,C050,10.9184
C019,C026,10.374
C019,C027,30.5915
C019,C028,5.9609
C019,C029,28.305799999999998
C019,C030,37.6502
C019,C031,32.9864
C019,C032,23.4851
C019,C033,14.334100000000001
C019,C034,16.7095
C019,C035,20.137900000000002
C019,C036,11.2371
C019,C037,22.432599999999997
C019,C038,4.0895
C019,C039,20.5768
C019,C040,13.3278
C019,C041,5.982600000000001
C019,C042,4.9085
C019,C043,8.8798
C019,C044,0.0
C019,C045,21.1423
C019,C046,22.4808
C019,C047,9.8591
C019,C048,14.155299999999999
C019,C049,14.5824
C019,C050,18.04
C020,C026,15.9809
C020,C027,9.9046
C020,C028,18.1492
C020,C029,7.6189
C020,C030,19.833
C020,C031,15.1692
C020,C032,7.3637
C020,C033,24.5781
C020,C034,10.4722
C020,C035,5.4647
C020,C036,15.2623
C020,C037,4.0359
C020,C038,19.6603
C020,C039,4.197
C020,C040,12.806
C020,C041,19.1147
C020,C042,18.664
C020,C043,16.743299999999998
C020,C044,22.9939
C020,C045,0.0
C020,C046,10.1448
C020,C047,17.2336
C020,C048,13.6335
C020,C049,9.293299999999999
C020,C050,21.6247
C021,C026,10.3901
C021,C027,14.8438
C021,C028,14.2131
C021,C029,12.779399999999999
C021,C030,22.2443
C021,C031,17.5805
C021,C032,6.3274
C021,C033,29.249299999999998
C021,C034,2.6126
C021,C035,9.1475
C021,C036,9.6714
C021,C037,11.4423
C021,C038,12.133
C021,C039,9.5865
C021,C040,16.166
C021,C041,15.178600000000001
C021,C042,12.3316
C021,C043,17.607
C021,C044,16.2146
C021,C045,10.4489
C021,C046,0.0
C021,C047,20.5935
C021,C048,17.0852
C021,C049,12.8991
C021,C050,24.9847
C022,C026,15.1269
C022,C027,27.6569
C022,C028,7.2954
C022,C029,25.3711
C022,C030,34.7156
C022,C031,30.0518
C022,C032,20.5504
C022,C033,8.178
C022,C034,21.3008
C022,C035,12.7622
C022,C036,15.7149
C022,C037,16.1244
C022,C038,11.5387
C022,C039,17.6422
C022,C040,5.4434
C022,C041,6.5616
C022,C042,10.5423
C022,C043,2.2379000000000002
C022,C044,11.184899999999999
C022,C045,18.2077
C022,C046,19.546200000000002
C022,C047,0.0
C022,C048,6.2817
C022,C049,8.5464
C022,C050,8.7896
C023,C026,13.771
C023,C027,21.896
C023,C028,10.887
C023,C029,19.6103
C023,C030,30.3481
C023,C031,25.6843
C023,C032,18.9791
C023,C033,14.449399999999999
C023,C034,19.729400000000002
C023,C035,9.7274
C023,C036,14.359
C023,C037,13.0896
C023,C038,13.6554
C023,C039,10.6975
C023,C040,2.4085
C023,C041,10.1532
C023,C042,12.6591
C023,C043,6.6147
C023,C044,14.776399999999999
C023,C045,13.5908
C023,C046,17.9748
C023,C047,7.1049
C023,C048,0.0
C023,C049,5.5116000000000005
C023,C050,8.6753
C024,C026,11.889899999999999
C024,C027,16.8796
C024,C028,10.263200000000001
C024,C029,14.5938
C024,C030,25.331599999999998
C024,C031,20.6678
C024,C032,13.9627
C024,C033,17.4883
C024,C034,14.713
C024,C035,4.7109
C024,C036,12.9135
C024,C037,8.0731
C024,C038,11.774299999999998
C024,C039,5.681100000000001
C024,C040,5.7163
C024,C041,11.2286
C024,C042,10.778
C024,C043,9.6536
C024,C044,15.107899999999999
C024,C045,8.574399999999999
C024,C046,12.9584
C024,C047,10.143799999999999
C024,C048,5.3325
C024,C049,0.0
C024,C050,12.0693
C025,C026,21.5605
C025,C027,29.6855
C025,C028,14.7321
C025,C029,27.3998
C025,C030,38.1376
C025,C031,33.473800000000004
C025,C032,26.7686
C025,C033,13.178700000000001
C025,C034,27.519
